May know-how be gettiered,郑伟平（厦门大学哲学系）,,,2013/3/2
基于实验哲学的know-how研究,楼  巍（厦门大学哲学系）,,,2013/3/18
如何设计哲学实验,曹剑波（厦门大学哲学系）,,,2013/4/1
论信念的知识规范,郑伟平（厦门大学哲学系）,,,2013/4/15
论经验知识中的给予,郑辉军博士候选人,,,2013/5/6
1）“董事长案例”道德直觉实验研究,杨英云,,,2013/5/20
2）哲学实验室建设规划,郑伟平（厦门大学哲学系）,,,2013/5/20
1）先天知识研究：从先验哲学到分析哲学,陈增（厦门大学博士候选人）,,,2013/6/3
2）决定论下的道德责任将何去何从——以法式思想实验为例,汪安琪同学,,,2013/6/3
3）思想实验的实验化,曹剑波（厦门大学哲学系）,,,2013/6/3
《人文国际》知识论专刊组稿研讨会,曹剑波（厦门大学哲学系）,,,2013/6/24
公平的本性与限度——“第三方裁判收买实验”的法哲学分析,吴旭阳(厦门大学法学院),,,2013/6/28
所与之谜的实验求解,何孟杰（厦门大学博士候选人）,,,2013/7/4
如何从事哲学科研？,郑伟平（厦门大学哲学系）,刘晓飞（厦门大学哲学系）,,2013/9/24
选择是否为责任的要件？——从举证责任看归责理论,刘晓飞（厦门大学哲学系）,,,2013/10/8
知识是一种信念吗？——信念理论的实验哲学研究,郑伟平（厦门大学哲学系）,,,2013/10/22
哲学直觉与实验哲学的方法论问题——以亚历山大和威廉姆森的争论为例,楼  巍（厦门大学哲学系）,,,2013/11/5
特鲁特普案例的实验研究,曹剑波（厦门大学哲学系）,,,2013/11/19
知觉知识的新进路——知识论的析取主义评析,杨修志（厦门大学博士候选人）,,,2013/12/3
意图表达与行动的自我知识,徐  竹（中国科学院大学）,,,2013/12/10
我们有信念吗？——反消除主义的不可或缺性论证,郑伟平（厦门大学哲学系）,,,2013/12/24
一种新经验论的可能性——兼回应对于经验论的批判,庄朝晖（厦门大学计算机科学系）,,,2014/1/7
传统哲学“知”的观念与“李约瑟难题”,陈嘉明（厦门大学哲学系）,,,2014/3/6
宗教认知自然性理论在中国的检验,Dr.Ryan Hornbeck（[美国]加州富勒心理研究所）,,,2014/3/20
关于司法裁判的实验研究,吴旭阳（厦门大学法学院）,,,2014/4/3
“偏好”研究现状及实证研究的可能性初探,刘晓飞（厦门大学哲学系）,,,2014/5/13
“真”与“真理”及其他,周建漳（厦门大学哲学系）,,,2014/5/30
我们有信念吗?——反消除主义的不可或缺性论证,郑伟平（厦门大学哲学系）,,,2014/11/3
广义谢弗竖和维特根斯坦的N算子,唐芳芳（中国社科院马研院）,,,2014/11/10
快乐与欲望谁更基础？,周  亮（北京大学博士候选人、牛津大学联合培养博士）,,,2014/11/27
心理学研究的一般范式,路  平（黑龙江大学教育学院）,,,2014/12/25
Reexamining the nature of equilibrium explanations,Dr.Ashton Sperry（[美国]密苏里大学）,,,2015/1/6
知识归因的利益相关的不变主义,呼文欢硕士,,,2015/6/8
哲学领域女性偏少的现象、原因及应对策略,曹剑波（厦门大学哲学系）,,,2015/9/18
荷尔德林的诗学和希腊学,佘诗琴（厦门大学哲学系）,,,2015/10/16
信念倾向还是智能表象？,王奇琦博士候选人,,,2015/10/30
后果主义是一种道德理论吗？,刘晓飞（厦门大学哲学系）,,,2015/11/13
唯物主义:一个被建构的理论？,唐  瑭（厦门大学哲学系）,,,2015/11/27
葛梯尔问题是一个伪问题吗？,楼  巍（厦门大学哲学系）,,,2015/12/11
“理解”的知识论,陈嘉明（上海交通大学哲学系）,,,2016/1/18
空间认知视野中的都市社会研究,强乃社（中国社会科学院哲学研究所编辑）,,,2016/2/19
The Norm of Belief: from a Peircean point of view,郑伟平（厦门大学哲学系）,,,2016/2/23
SPSS软件的哲学应用：以哲学领域女性偏少的课堂效应假说的验证为例,徐金娟（管理咨询师、中级统计师）,,,2016/3/8
Disagreement about Justice,Pro.Wilfried Hinsch (Koeln Univeristy),,,2016/3/22
fMRI技术及其哲学应用,杜小霞（华东师范大学、上海市磁共振重点实验室高级工程师）,,,2016/4/5
The Epistemic Value of Understanding,胡星铭（南京大学哲学系）,,,2016/4/26
道德直觉与道德知识的确证,王奇琦（厦门大学博士候选人）,,,2016/5/10
Realist-Expressivism and Ways of Thinking,Pro.David Copp（加利福尼亚大学戴维斯分校杰出教授）,,,2016/5/17
Pascal’s Wager Meets Surreal Numbers,Dr.Eddy Keming Chen (Rutgers University),,,2016/5/24
安全信念与彩票难题：对普理查德版本的安全性说明的一种有限的审视,李麒麟（北京大学哲学系）,,,2016/5/31
“Truth”与真理———兼与王路教授商榷,周建漳（厦门大学哲学系）,,,2016/6/7
海德格尔与深度知识论,王庆节（香港中文大学哲学系）,,,2016/6/24
Quanta经验与道德谓词,颜青山（华东师范大学哲学系）,,,2016/6/25
新摩尔主义,杨修志（南京林业大学）,,,2016/6/25
知识与信念关系之争,郑伟平（厦门大学哲学系）,,,2016/6/25
道德直觉研究,王奇琦（厦门大学博士候选人）,,,2016/6/26
亲知理论与基础主义的复兴,胡志强（中国科学院大学）,,,2016/6/28
论威廉姆森的断定规范,郑伟平（厦门大学哲学系）,曹剑波,,2016/9/27
认知运气,李锋锋（厦门大学博士候选人）,郑伟平,,2016/10/11
艾耶尔“先天”命题研究,秦洋（厦门大学博士候选人）,楼巍,章晟,2016/10/25
Greco on Testimonial Knowledge,郑伟平（厦门大学哲学系）,李国扬,徐竹、章晟,2016/11/12
The Value Problem of Knowledge: Traditional and Beyond,米建国（台湾东吴大学）,曹剑波,,2016/11/12
Understanding，Ability，and Mechanism,徐竹（中国科学院大学）毕文胜,李麒麟、郑伟平,,2016/11/13
The Epistemic Virtue and Its Motivational Role in the Value Problem: Zagzebski's Solution to the Gettier Problem Revisited,李麒麟（北京大学）徐竹,刘晓飞、米建国,,2016/11/13
Value is Prior to Reason,李国扬（台湾中正大学）,章晟,刘晓飞,2016/11/14
Rationalism and the Problem of Deviant Realizations,李国扬（台湾中正大学）,章晟,楼巍,2016/11/15
科学理解的事实性与虚构性,徐竹（中国科学院大学）,郑伟平,,2016/11/15
最佳说明推理与发现的逻辑,朱志方（武汉大学）,,,2016/11/22
认知渗透与知觉辩护,王华平（山东大学）,曹剑波,郑伟平,2016/11/22
当代分析哲学的三种转向,江怡（北京师范大学）,曹剑波,,2017/3/31
事实、证据与司法审判,陈波（北京大学）,曹剑波,谢晓东、郭春镇、吴旭阳、章晟,2017/4/24
From Discovery to Justification: Outline of an Ideal Research Program for Empirical Psychology,Frank Zenker（德国康斯坦茨大学哲学系研究员）,郑伟平,,2017/5/12
Understanding as an intellectual virtue,Stephen R.Grimm (Professor of Philosophy，Fordham University),周建漳,,2017/5/15
Grice的理由論,苏庆辉（山东大学）,楼巍,,2017/5/22
Can Future Technology Provide Us with Immortal Life?,Douglas Lackey,朱菁,,2017/6/19
Truth Norm of Assertion,Daniel Whiting教授（英国南安普顿大学哲学系主任）,郑伟平副教授,,2017/7/22
“The Rectification of Names” as a Confucian Theory of Epistemic Justification(作为认知辩护的儒家“正名”论）,徐英瑾教授（青年长江学者、复旦大学哲学学院博导）,曹剑波,郑伟平,2017/10/11
Different scopes for different folks,侯维之教授（台湾中正大学哲学系）,曹剑波,,2017/10/18
论证成的规范性,侯维之教授（台湾中正大学哲学系）,郑伟平,,2017/10/20
社会科学中的案例研究方法：以偏概全还是一叶知秋,王巍教授（清华大学科学技术与社会研究所）,郑伟平,,2017/11/22
广义与狭义大科学,王大明教授（中国科学院大学人文学院）,朱菁,,2017/11/27
迷思中的中世纪哲学史研究——文艺复兴以降中世纪哲学历史书写的初步反思,吴天岳副教授（北京大学哲学系万人计划学者）,曹剑波,,2017/12/1
什么是形而上学？,王路教授（清华大学哲学系资深教授）,郑伟平,,2017/12/4
张载理学研究的新文献与新视角,林乐昌（陕西师范大学哲学系）,谢晓东,,2017/12/15
朱张会讲——850.前的一场思想盛宴,肖永明（岳麓书院）,朱人求,,2017/12/16
南吉大与关学的学术化,刘学智（陕西师范大学哲学系）,谢晓东,,2018/3/9
儒学与实用主义,杨国荣（华东师范大学哲学系）,朱  菁,,2018/3/10
划界内圣与外王：儒学的现代突破,任剑涛（清华大学政治系）,周建漳,,2018/3/10
儒家的社会正义理论,黄玉顺（山东大学儒学高等研究院）,谢晓东,,2018/3/11
顾炎武的新仁学,周可真（苏州大学哲学系）,谢晓东,,2018/3/12
形而上学与虚无主义---海德格尔对尼采的解读,张志伟教授（中国人民大学哲学院）,曹剑波,,2018/3/19
改革开放与“哲学村”的变迁——“中国农民哲学村”,单继刚研究员（中国社科院哲学所）,唐瑭,,2018/4/2
中国哲学中有无“真理”概念及其思想意义——试论“陈汉生问题”,周建漳教授（厦门大学哲学系）,曹剑波,,2018/4/12
Two Types of Generalization in Statistical Discrimination,刘晓飞副教授（厦门大学哲学系）,郑伟平,,2018/4/25
“理解”论的构建：从对象、性质到方法,陈嘉明教授（上海交通大学哲学系）,曹剑波,,2018/5/13
蹊跷性论题对逻辑决定论的拒斥,颜青山教授（华东师范大学哲学系）,曹剑波,,2018/5/14
现代性视域中的科学与哲学,张志林教授（复旦大学哲学系）,朱菁,,2018/5/14
Objects and Properties,Dr.Naomi Thompson（Department of Philosophy，University of Southampton）,郑伟平副教授,,2018/5/28
朱子理学与阳明心学的关联,林安梧（台湾慈济大学宗教与文化研究所）,谢晓东,,2018/6/5
朱子论天地以生物为心,唐文明（清华大学哲学系）,谢晓东,,2018/6/11
儒家经典诠释学的起源及发展,王中江教授（北京大学哲学系）,谢晓东教授,,2018/6/22
井上圆了对近代中国佛教改革理论的影响——以“人间佛教”创始人太虚为例,王  青（中国社会科学院）,朱人求,,2018/6/26
明清王朝更迭与东亚思想史,桂岛宣弘（立命馆大学文学部）,朱人求,,2018/6/26
当代分析哲学运动中的三大转变,江怡教授（北京师范大学哲学与社会学院）,郑伟平,,2018/6/26
什么是认知科学？,江怡教授（北京师范大学哲学与社会学院）,朱菁,,2018/6/28
Animal Abolitionism and Racism without Racists,Luís C.Rodrigues（中山大学珠海分校研究员）,朱菁,,2018/7/2
《西铭》现代诠释的三个面向,许  宁（陕西师范大学哲学系）,朱人求,,2018/10/17
栗谷学与韩国文化——朱子学的太极阴阳论和太极旗,崔英辰（韩国成均馆大学翰林院）,乐爱国,,2018/10/19
道学与朱熹之再思考,田  浩（美国亚利桑那州立大学）,朱人求,,2018/10/20
人工智能的政治哲学反思,吴冠军教授（华东师范大学欧陆政治哲学研究所）,张会永,,2018/11/8
想象与理解,徐竹教授 （华东师范大学哲学系）,张会永,,2018/11/12
斯宾诺莎Conatus概念及其理论建构中的作用,Prof.Gabor BOROS（Department of Philosophy， Károli University of Budapest）,翁少龙,,2018/11/13
论诺齐克式权利观的后果主义重构,葛四友教授 （华东师范大学哲学系）,张会永,,2018/11/15
人类命运共同体、全球伦理与国际法治,曹刚教授 （中国人民大学哲学学院）,张会永,,2018/11/19
同一性、实体和本质,李大强教授（吉林大学哲学社会学院）,郑伟平,,2018/11/19
